acc
SRR17119296
SRR17119297
SRR17119298
SRR17119299
SRR17119300
SRR17119301
SRR17119302
SRR17119303
SRR17119304
SRR17119305
SRR17119306
SRR17119307
SRR17119308
SRR17119309
SRR17119310
SRR17119311
SRR17119312
SRR17119313
SRR17119314
SRR17119315
SRR17119316
SRR17119317
SRR17119318
SRR17119319
SRR17119320
SRR17119321
SRR17119322
SRR17119323
SRR17119324
SRR17119325
SRR17119326
SRR17119327
SRR17119328
SRR17119329
SRR17119330
SRR17119331
SRR17119332
SRR17119333
SRR17119334
SRR17119335
SRR17119336
SRR17119337
SRR17119338
SRR17119339
SRR17119340
SRR17119341
SRR17119342
SRR17119343
SRR17119344
SRR17119345
SRR17119346
SRR17119347
SRR17119348
SRR17119349
SRR17119350
SRR17119351
SRR17119352
SRR17119353
SRR17119354
SRR17119355
SRR17119356
SRR17119357
SRR17119358
SRR17119359
SRR17119360
SRR17119361
SRR17119362
SRR17119363
SRR17119364
SRR17119365
SRR17119366
SRR17119367
SRR17119368
SRR17119369
SRR17119370
SRR17119371
SRR17119372
SRR17119373
SRR17119374
SRR17119375
SRR17119376
SRR17119377
SRR17119378
SRR17119379
SRR17119380
SRR17119381
SRR17119382
SRR17119383
SRR17119384
SRR17119385
SRR17119386
SRR17119387
SRR17119388
SRR17119389
SRR17119390
SRR17119391
SRR17119392
SRR17119393
SRR17119394
SRR17119395
SRR17119396
SRR17119397
SRR17119398
SRR17119399
SRR17119400
SRR17119401
SRR17119402
SRR17119403
SRR17119404
SRR17119405
SRR17119406
SRR17119407
SRR17119408
SRR17119409
SRR17119410
SRR17119411
SRR17119412
SRR17119413
SRR17119414
SRR17119415
SRR17119416
SRR17119417
SRR17119418
SRR17119419
SRR17119420
SRR17119421
SRR17119422
SRR17119423
SRR17119424
SRR17119425
SRR17119426
SRR17119427
SRR17119428
SRR17119429
SRR17119430
SRR17119431
SRR17119432
SRR17119433
SRR17119434
SRR17119435
SRR17119436
SRR17119437
SRR17119438
SRR17119439
SRR17119440
SRR17119441
SRR17119442
SRR17119443
SRR17119444
SRR17119445
SRR17119446
SRR17119447
SRR17119448
SRR17119449
SRR17119450
SRR17119451
SRR17119452
SRR17119453
SRR17119454
SRR17119455
SRR17119456
SRR17119457
SRR17119458
SRR17119459
SRR17119460
SRR17119461
SRR17119462
SRR17119463
SRR17119464
SRR17119465
SRR17119466
SRR17119467
SRR17119468
SRR17119469
SRR17119470
SRR17119471
SRR17119472
SRR17119473
SRR17119474
SRR17119475
SRR17119476
SRR17119477
SRR17119478
SRR17119479
SRR17119480
SRR17119481
SRR17119482
SRR17119483
SRR17119484
SRR17119485
SRR17119486
SRR17119487
SRR17119488
SRR17119489
SRR17119490
SRR17119491
SRR17119492
SRR17119493
SRR17119494
SRR17119495
SRR17119496
SRR17119497
SRR17119498
SRR17119499
SRR17119500
SRR17119501
SRR17119502
SRR17119503
SRR17119504
SRR17119505
SRR17119506
SRR17119507
SRR17119508
SRR17119509
SRR17119510
SRR17119511
SRR17119512
SRR17119513
SRR17119514
SRR17119515
SRR17119516
SRR17119517
SRR17119518
SRR17119519
SRR17119520
SRR17119521
SRR17119522
SRR17119523
SRR17119524
SRR17119525
SRR17119526
SRR17119527
SRR17119528
SRR17119529
SRR17119530
SRR17119531
SRR17119532
SRR17119533
SRR17119534
SRR17119535
SRR17119536
SRR17119537
SRR17119538
SRR17119539
SRR17119540
SRR17119541
SRR17119542
SRR17119543
SRR17119544
SRR17119545
SRR17119546
SRR17119547
SRR17119548
SRR17119549
SRR17119550
SRR17119551
SRR17119552
SRR17119553
SRR17119554
SRR17119555
SRR17119556
SRR17119557
SRR17119558
SRR17119559
SRR17119560
SRR17119561
SRR17119562
SRR17119563
SRR17119564
SRR17119565
SRR17119566
SRR17119567
SRR17119568
SRR17119569
SRR17119570
SRR17119571
SRR17119572
SRR17119573
SRR17119574
SRR17119575
SRR17119576
SRR17119577
SRR17119578
SRR17119579
SRR17119580
SRR17119581
SRR17119582
SRR17119583
SRR17119584
SRR17119585
SRR17119586
SRR17119587
SRR17119588
SRR17119589
SRR17119590
SRR17119591
SRR17119592
SRR17119593
SRR17119594
SRR17119595
